ABQ,DEN,75,217,3202
ANC,DLG,64,256,154
ANC,OTZ,92,259,961
ANC,FAI,60,265,996
ANC,BET,72,342,1759
ATL,CSG,43,125,2119
ATL,MGM,54,163,4370
ATL,CHA,47,164,5401
ATL,DHN,57,173,2485
ATL,MOB,74,185,4465
ATL,CAE,60,180,5347
ATL,BHM,53,198,6385
ATL,SAV,63,216,6248
ATL,VLD,62,192,1846
ATL,VPS,69,228,4376
ATL,ECP,65,225,4020
ATL,BQK,65,307,1737
ATL,TLH,63,197,4177
ATL,GPT,77,226,2804
ATL,GNV,74,269,4137
ATL,GTR,67,289,1824
ATL,TRI,63,313,3818
ATL,FAY,78,321,3229
ATL,OAJ,85,397,2238
ATL,EWN,88,417,1129
ATL,MLB,89,411,2649
BNA,RDU,83,246,1960
BOI,GEG,59,172,1159
BRW,SCC,48,175,813
BUR,LAS,59,148,6080
BUR,OAK,65,169,7249
BWI,PHL,56,181,14
BWI,ORF,53,191,2244
BWI,JFK,74,234,610
BWI,ISP,65,235,2972
CAK,DCA,65,243,530
CID,MSN,49,186,1
SAN,PHX,69,190,10130
SAN,SJC,77,233,5951
CLE,MDW,69,232,3540
CLE,LGA,101,253,4914
CLT,PIT,86,215,4845
CLT,MYR,59,227,12
CLT,MDT,91,265,246
CLT,DAB,86,240,10
CLT,ILM,60,219,323
CRP,HOU,49,147,2468
CVG,STL,75,191,97
DAL,TUL,57,155,1852
DAL,SAT,59,175,6011
DAL,ICT,70,175,1176
DAL,LBB,63,187,3052
DAL,LIT,62,211,2009
DFW,LAW,51,152,2474
DFW,SPS,49,155,2340
DFW,FSM,64,180,2491
DFW,SHV,62,195,4363
DFW,XNA,73,197,4280
DFW,GGG,55,191,1229
DFW,TYR,50,203,3067
DFW,GRI,106,308,1218
DFW,PNS,114,311,2228
DFW,ROW,90,284,1831
DFW,SJT,60,211,3103
DFW,GCK,86,299,1272
DFW,GRK,51,223,5003
DFW,MEI,98,332,892
DFW,TXK,58,255,1833
DFW,JLN,80,397,1269
DTW,FWA,55,147,1941
DTW,MBS,50,153,864
DTW,ERI,62,155,196
DTW,LAN,47,161,857
DTW,SBN,59,161,2571
DTW,GRR,52,177,2726
DTW,ELM,76,192,2824
DTW,ESC,75,309,1105
DTW,GRB,73,280,1295
DTW,MQT,89,276,35
DTW,SCE,71,303,416
DTW,SWF,100,253,38
DTW,HPN,108,335,262
DTW,PLN,70,338,1461
DTW,ITH,87,360,61
EWR,ROC,75,198,1406
EWR,SYR,72,198,971
FLL,JAX,73,333,1447
FLL,STT,164,412,612
FLL,ORH,181,730,634
HNL,LIH,38,151,11695
HNL,PPG,334,884,213
IAH,LCH,48,123,2110
IAH,LFT,62,166,4227
IAH,MLU,69,177,1544
IAH,HRL,71,189,2344
IAH,MFE,75,228,3782
IAH,LRD,74,265,1794
IAH,MAF,89,270,4014
IAH,HSV,113,389,1738
IAD,TTN,105,282,1
IAD,IND,98,276,53
IAD,ROA,68,304,10
JNU,YAK,51,193,650
JNU,SIT,41,199,1395
KTN,WRG,37,105,650
LAX,SBP,63,172,2688
LAX,PSP,55,205,1438
MCO,MIA,65,167,6024
ORD,MKE,49,130,9192
ORD,TOL,64,169,1798
ORD,PIA,55,170,4142
ORD,SPI,60,223,1910
ORD,MKG,56,163,1235
ORD,TYS,100,306,4033
ORD,MLI,56,252,3049
ORD,PAH,85,366,1246
ORD,SGF,97,335,3868
ORD,SUX,97,300,1180
ORD,MHK,104,448,1233
ORD,STC,93,331,154
MSP,RST,47,176,794
MSP,TVC,82,229,219
MSP,RHI,63,298,1321
PDX,SEA,52,180,3667
SFO,SMF,50,198,3079
SJU,STX,38,117,665
SLC,SUN,57,161,1204
SLC,VEL,45,208,397
SLC,WYS,67,238,415
SLC,TWF,52,236,1611
